nome,hora,dia,source
CarlosBolsonaro,14:31,2018-09-21,Twitter for iPhone
CarlosBolsonaro,16:26,2018-09-21,Twitter for iPhone
CarlosBolsonaro,16:26,2018-09-21,Twitter for iPhone
CarlosBolsonaro,16:27,2018-09-21,Twitter for iPhone
CarlosBolsonaro,16:29,2018-09-21,Twitter for iPhone
CarlosBolsonaro,16:29,2018-09-21,Twitter for iPhone
CarlosBolsonaro,21:57,2018-09-21,Twitter for iPhone
CarlosBolsonaro,22:03,2018-09-21,Twitter for iPhone
CarlosBolsonaro,22:04,2018-09-21,Twitter for iPhone
CarlosBolsonaro,22:05,2018-09-21,Twitter for iPhone
CarlosBolsonaro,22:06,2018-09-21,Twitter for iPhone
CarlosBolsonaro,22:07,2018-09-21,Twitter for iPhone
CarlosBolsonaro,22:08,2018-09-21,Twitter for iPhone
CarlosBolsonaro,23:20,2018-09-21,Twitter for iPhone
CarlosBolsonaro,23:21,2018-09-21,Twitter for iPhone
CarlosBolsonaro,23:23,2018-09-21,Twitter for iPhone
CarlosBolsonaro,0:07,2018-09-22,Twitter for iPhone
CarlosBolsonaro,1:37,2018-09-22,Twitter for iPhone
CarlosBolsonaro,12:49,2018-09-22,Twitter for iPhone
CarlosBolsonaro,13:08,2018-09-22,Twitter for iPhone
CarlosBolsonaro,14:46,2018-09-22,Twitter for iPhone
CarlosBolsonaro,15:52,2018-09-22,Twitter for iPhone
CarlosBolsonaro,17:11,2018-09-22,Twitter for iPhone
CarlosBolsonaro,18:10,2018-09-22,Twitter for iPhone
CarlosBolsonaro,19:24,2018-09-22,Twitter for iPhone
CarlosBolsonaro,19:25,2018-09-22,Twitter for iPhone
CarlosBolsonaro,19:42,2018-09-22,Twitter for iPhone
CarlosBolsonaro,21:49,2018-09-22,Twitter for iPhone
CarlosBolsonaro,21:49,2018-09-22,Twitter for iPhone
CarlosBolsonaro,22:04,2018-09-22,Twitter for iPhone
CarlosBolsonaro,23:05,2018-09-22,Twitter for iPhone
CarlosBolsonaro,23:11,2018-09-22,Twitter for iPhone
CarlosBolsonaro,23:42,2018-09-22,Twitter for iPhone
CarlosBolsonaro,9:05,2018-09-23,Twitter for iPhone
CarlosBolsonaro,9:52,2018-09-23,Twitter for iPhone
CarlosBolsonaro,12:23,2018-09-23,Twitter for iPhone
CarlosBolsonaro,13:44,2018-09-23,Twitter for iPhone
CarlosBolsonaro,15:44,2018-09-23,Twitter for iPhone
CarlosBolsonaro,16:06,2018-09-23,Twitter for iPhone
CarlosBolsonaro,16:07,2018-09-23,Twitter for iPhone
CarlosBolsonaro,16:54,2018-09-23,Twitter for iPhone
CarlosBolsonaro,16:54,2018-09-23,Twitter for iPhone
CarlosBolsonaro,17:25,2018-09-23,Twitter for iPhone
CarlosBolsonaro,17:25,2018-09-23,Twitter for iPhone
CarlosBolsonaro,17:26,2018-09-23,Twitter for iPhone
CarlosBolsonaro,21:00,2018-09-23,Twitter for iPhone
CarlosBolsonaro,23:10,2018-09-23,Twitter for iPhone
CarlosBolsonaro,1:00,2018-09-24,Twitter for iPhone
CarlosBolsonaro,1:22,2018-09-24,Twitter for iPhone
CarlosBolsonaro,14:32,2018-09-24,Twitter for iPhone
CarlosBolsonaro,14:50,2018-09-24,Twitter for iPhone
CarlosBolsonaro,14:50,2018-09-24,Twitter for iPhone
CarlosBolsonaro,14:51,2018-09-24,Twitter for iPhone
CarlosBolsonaro,14:52,2018-09-24,Twitter for iPhone
CarlosBolsonaro,14:52,2018-09-24,Twitter for iPhone
jairbolsonaro,8:39,2018-11-23,Twitter for Android
CarlosBolsonaro,15:45,2018-09-24,Twitter for iPhone
CarlosBolsonaro,15:47,2018-09-24,Twitter for iPhone
CarlosBolsonaro,15:47,2018-09-24,Twitter for iPhone
CarlosBolsonaro,15:48,2018-09-24,Twitter for iPhone
CarlosBolsonaro,15:54,2018-09-24,Twitter for iPhone
CarlosBolsonaro,15:57,2018-09-24,Twitter for iPhone
CarlosBolsonaro,18:40,2018-09-24,Twitter for iPhone
CarlosBolsonaro,19:20,2018-09-24,Twitter for iPhone
CarlosBolsonaro,19:30,2018-09-24,Twitter for iPhone
CarlosBolsonaro,20:29,2018-09-24,Twitter for iPhone
CarlosBolsonaro,21:09,2018-09-24,Twitter for iPhone
CarlosBolsonaro,22:44,2018-09-24,Twitter for iPhone
CarlosBolsonaro,22:48,2018-09-24,Twitter for iPhone
CarlosBolsonaro,22:51,2018-09-24,Twitter for iPhone
CarlosBolsonaro,22:58,2018-09-24,Twitter for iPhone
CarlosBolsonaro,0:47,2018-09-25,Twitter for iPhone
CarlosBolsonaro,1:06,2018-09-25,Twitter for iPhone
CarlosBolsonaro,1:17,2018-09-25,Twitter for iPhone
CarlosBolsonaro,1:18,2018-09-25,Twitter for iPhone
CarlosBolsonaro,10:07,2018-09-25,Twitter for iPhone
CarlosBolsonaro,10:51,2018-09-25,Twitter for iPhone
CarlosBolsonaro,15:22,2018-09-25,Twitter for iPhone
CarlosBolsonaro,15:23,2018-09-25,Twitter for iPhone
CarlosBolsonaro,15:34,2018-09-25,Twitter for iPhone
CarlosBolsonaro,16:01,2018-09-25,Twitter for iPhone
CarlosBolsonaro,16:01,2018-09-25,Twitter for iPhone
CarlosBolsonaro,16:02,2018-09-25,Twitter for iPhone
CarlosBolsonaro,16:02,2018-09-25,Twitter for iPhone
CarlosBolsonaro,16:03,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:01,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:06,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:06,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:06,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:06,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:06,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:07,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:07,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:08,2018-09-25,Twitter for iPhone
CarlosBolsonaro,17:33,2018-09-25,Twitter for iPhone
CarlosBolsonaro,18:18,2018-09-25,Twitter for iPhone
CarlosBolsonaro,18:40,2018-09-25,Twitter for iPhone
CarlosBolsonaro,19:39,2018-09-25,Twitter for iPhone
CarlosBolsonaro,21:29,2018-09-25,Twitter for iPhone
CarlosBolsonaro,21:29,2018-09-25,Twitter for iPhone
CarlosBolsonaro,21:30,2018-09-25,Twitter for iPhone
CarlosBolsonaro,21:31,2018-09-25,Twitter for iPhone
